"address","astralite_amount","astralite_tx","samarium_amount","samarium_tx","calamarite_amount","calamarite_tx","faucet_uses","gas_tx"
"0xebd9a48ed1128375eb4383ed4d53478b4fd85a8d","89302","33","94692","33","94111","32","0","0"
"0x6eeca55c7cad1b1c1c3f872e1b5659f520c19a1f","4685","2","3727","2","3983","2","0","0"
"0x3cdafc99da990d56abedbc0af7b4247ad2dc5a74","26635","4","26600","2","25630","3","0","0"
"0xca19d045317224c3bb84af1a403f70bd3589ef56","335309","7","332078","7","355086","7","0","0"
"0x7c719c3c98f416bb5fab3c00c09e518e5eb5c1b7","1787","1","1368","1","1452","1","0","0"
"0x491ffc953e1ab2751817ff90a5f32694a4841474","16302","2","14477","2","16538","2","0","0"
"0x242bf8c5a3dff71b6dd6821fb9ddfd493a6bcb1d","0","0","0","0","0","0","0","0"
"0x1f6239b44952fa8ccbe3de87fae8198867277f65","0","0","0","0","252","1","0","0"
"0x3edb1be154d8c8fc4818fa7695da7620ecd5ef91","25217","16","21464","16","37818","16","0","0"
"0x18688146713a8c38310547b473dd87c28cd941c6","0","0","0","0","0","0","0","0"
"0x292e84772e3ce9a5db4ba914b83b89b74886f1bd","0","0","0","0","0","0","0","0"
"0xb93701293b1bbeaa7d4b0a73449d30a1fcf459f0","0","0","0","0","0","0","0","0"
"0xfd599c8e0933abd0b842c436ad9e612ad625feb9","0","0","0","0","0","0","0","0"
"0x135ebc63378e52d4b62081edd1a8db4c580a3441","5070","2","4974","2","3989","2","0","0"
"0x3beb5e96c21fee32c43bed747dc1fc4e57c5594e","21999","4","20602","4","27064","4","0","0"
"0x8626f6940e2eb28930efb4cef49b2d1f2c9c1199","176","1","250","1","0","0","0","0"
"0x506b61f9dd0b2b3e93ef4646b35e64eaf5388d54","10511","4","6612","4","7246","4","0","0"
"0x8d0b928e34d0c2ea626fd84e79d6b221feab5030","648","1","886","1","1980","1","0","0"
"0x2bf136e8ccb32e9a213a4ae6778d703cf55b5889","1498","1","760","1","1837","1","0","0"
"0x25341068524e657dd9434b6cf3738d27da87d66c","945664","464","897307","461","954119","459","0","0"
"0x9fcf1483f750dd5a8555797b8190af62e5fe4d44","240221","9","140010","9","158178","9","0","0"
"0x1bc65b00eabd7af0eb41f8d6d9934783391afea3","2420","4","0","0","0","0","0","0"
"0xe51a2e65d8b43b045de3d1db9e64906d14c61b54","76798","13","48176","13","60184","13","0","0"
"0xa65660a7c3c4408fe1ef6a33dfc3b1d312263b1b","6298","1","1257","1","2244","1","0","0"
"0x014d3239e6a0b9cb825527c8c365472a3e271028","601","1","1001","1","2035","1","0","0"
"0x0d960b67269b0837c0ebf6a09cce69377590f020","604","1","1110","1","1305","1","0","0"
"0x0939ece40293c89df6f4639af3c7c35d799b5f00","100847","15","79285","15","95668","15","0","0"
"0x319b916a699865618121b99e66e34b1cc597ec32","1467743","976","1400207","965","1470015","956","0","0"
"0xd690b90480010dcd01e13a26835d67d1c71fdae8","5407","5","12832","5","6362","5","0","0"
"0x1770de12a1b5b1283d56cd7a1e5fbe4fe284511e","25810","18","20981","18","24170","18","0","0"
"0x6f61d896a9b9e1087065e1630be44f394786f3d1","16536","16","16072","15","20971","14","0","0"
"0xe1c2fe8ee6d476debfa59e7e0b055cdee246fdef","3402","2","4283","2","4003","2","0","0"
"0x6a74ce0ccc415d439f3c908e0817bb69c6d9046e","0","0","0","0","0","0","0","0"
"0xf363b614cd6536f2191ac6bf3bbdfc4030ed94da","0","0","0","0","0","0","0","0"
"0xd9c5db99859b01c1212a098a5c79f74c572dfb00","0","0","0","0","0","0","0","0"
"0x16ecc0d028190ce0b74d52b450c4e00a19145885","0","0","0","0","0","0","0","0"
"0xbf87fafcc5d86010744ade5e1669d785958fd871","0","0","0","0","0","0","0","0"
"0x4dc809d195167bb0e4e0405d3072d4595b443acb","0","0","0","0","0","0","0","0"
"0xf282529a89e131791f15ca45d32c6e1267987ced","3258","1","3056","1","3602","1","0","0"
"0x7543ae755256476f32ec2cb49c253c4e5d47b806","6678","3","2633","1","2746","1","0","0"
"0x14f7c96aa0229a406efd67688c5187bee694de79","899","1","768","1","1057","1","0","0"
"0xf8340c4d26d3787207133946e5a31f2ff4484df5","297865","17","328392","16","387910","16","0","0"
"0x9bc66deb421faf05041ee69f8db194f6a34bdc37","1729","1","0","0","0","0","0","0"
"0xb600df397c596b0baad105c85374c1863226eff2","147067","10","112999","10","130562","10","0","0"
"0xc1e7ca17274c36a3358460f93ce30200916688b6","1784","2","1890","2","2983","2","0","0"
"0xaffc193174e262e1201961ac3b5286a82d0e622e","1297","1","633","1","1098","1","0","0"
"0xdbfff9ca5955bcd25ce77dbeb27183cc329c8e24","25396","5","29487","5","27144","5","0","0"
"0x613f2f6ef6f175a7f60217f3cb1c168ca922bc2d","30028","9","23614","9","25864","8","0","0"
"0x514d58823c12ec695ef378d4cb3013faa147105c","5090","1","0","0","0","0","0","0"
"0x759ec7d623ccf175e4a550d56381dc58a8a2c323","2452","2","2380","2","2675","2","0","0"
"0x988d0ed33e9a5e7def0736bc693284bfbb190d17","0","0","0","0","0","0","0","0"
"0x124b76631b4add879a9bf5a7759cfa3a1d78ca2c","1526","6","3571","6","2857","6","0","0"
"0x5017ac3361cd1a702f28eb20545a2af858b491ab","154103","3","164285","3","202174","3","0","0"
"0x5ee6e7174e759092a9e2408a3c73078ae5fb9c87","113920","6","118131","5","117416","4","0","0"
"0x78cccc65a0bc2bbe502c07d28416649c5c6623b1","0","0","0","0","0","0","0","0"
"0x81366eefbb88ca85d58db113b929fbc908a5b5df","0","0","0","0","0","0","0","0"
"0x3e95e93ace1d56792d3ed326b3f20d32f050fd9f","0","0","0","0","0","0","0","0"
"0x5ec37ef774357717d06c53870c5bacac7d63fa07","0","0","0","0","0","0","0","0"
"0xd7b2913be8247d7b54ec38366dc45fbe21fb4587","0","0","0","0","0","0","0","0"
